geneName,Exp_Bias,geneID_sgA,ATAC PEAK_MEAN_sgA,H3K27ac PEAK_MEAN_sgA,H3K4me3 PEAK_MEAN_sgA,H3K27me3 PEAK_MEAN_sgA,geneID_sgB,ATAC PEAK_MEAN_sgB,H3K27ac PEAK_MEAN_sgB,H3K4me3 PEAK_MEAN_sgB,H3K27me3 PEAK_MEAN_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom
ZNF423,No_Change,ENSCCRG00000078744,2.59,0.68,2.31,0.31,ENSCCRG00000039463,1.99,0.65,1.97,0.41,496.7914177,0.001097424751,1
edem1,No_Change,ENSCCRG00000052367,3.43,0.47,2.46,0.2,ENSCCRG00000052393,2.19,0.39,1.8,0.23,1485.326459,-0.004071079464,0.9893902641
,No_Change,ENSCCRG00000062207,1.25,0.24,2.34,0.21,ENSCCRG00000034813,0.67,0.31,0.14,0.29,614.5783981,-0.004989074265,0.9886218079
HERC2,No_Change,ENSCCRG00000001082,2.41,0.38,2.09,0.25,ENSCCRG00000001668,3.2,0.35,2.2,0.65,1006.462327,-0.005375031138,0.9927053165
gadd45gb.1,No_Change,ENSCCRG00000070275,1.93,0.69,1.05,1.23,ENSCCRG00000005232,1.78,0.69,0.95,1.48,233.4937428,0.0006656831995,1
vps13c,No_Change,ENSCCRG00000052777,1.44,0.66,1.34,0.23,ENSCCRG00000052326,0.93,0.37,1.36,0.25,389.8929241,0.000627078485,1
irx5a,No_Change,ENSCCRG00000027975,1.29,0.66,1.49,1.94,ENSCCRG00000082522,2.67,1.41,2.2,2.1,154.147501,-0.008332604081,0.9875936036
ripor1,No_Change,ENSCCRG00000023740,1.99,0.82,3.04,0.33,ENSCCRG00000023685,1.67,1.08,2.4,0.56,1154.569507,-0.008788304265,0.9645638875
tars1,No_Change,ENSCCRG00000024983,2.44,0.6,2.65,0.3,ENSCCRG00000033752,1.5,0.82,2.76,0.33,1079.629741,-0.008969765719,0.9770121511
arhgap46a,No_Change,ENSCCRG00000003147,1.44,1.83,3.67,0.4,ENSCCRG00000025393,2.9,0.97,3.37,0.39,781.2518112,-0.009119925766,0.987027215
vezf1b,No_Change,ENSCCRG00000021299,0.96,1.79,3.31,0.25,ENSCCRG00000072066,1.3,1.1,2.64,0.21,1082.750712,-0.009155251642,0.9649620384
lrrc1,No_Change,ENSCCRG00000012821,0.87,0.36,1.33,0.3,ENSCCRG00000020071,1.1,0.68,1.82,0.25,2003.769375,-0.00926991273,0.9774722321
,No_Change,ENSCCRG00000070712,2.62,0.68,2.28,0.49,ENSCCRG00000082359,3.1,0.82,2.47,0.37,407.03635,-0.01003737614,0.9752936093
,No_Change,ENSCCRG00000015130,1,0.95,2.19,0.25,ENSCCRG00000074632,0.71,0.97,2.63,0.3,893.2823424,-0.01056835208,0.9798215038
zgc:66427,No_Change,ENSCCRG00000038919,1.83,1.1,3.3,0.41,ENSCCRG00000025860,2.57,1.26,3.21,0.32,1067.846961,-0.01133964004,0.9683186605
relch,No_Change,ENSCCRG00000017320,1.24,0.5,1.81,0.14,ENSCCRG00000015824,1.48,0.59,2.03,0.35,666.9057231,-0.01149878702,0.9743109715
cyp24a1,No_Change,ENSCCRG00000023843,0.74,0.32,0.26,0.35,ENSCCRG00000027418,0.74,0.34,0.24,0.35,620.9289273,-0.01289922721,0.9875936036
gdi2,No_Change,ENSCCRG00000020991,5.36,1.24,3.46,0.16,ENSCCRG00000071952,5.7,0.81,3.29,0.25,3430.469326,-0.01297293911,0.971731981
copb2,No_Change,ENSCCRG00000080500,2,0.68,3.54,0.25,ENSCCRG00000006200,1.56,0.55,2.4,0.18,4458.259962,-0.01301620833,0.9472052805
dnmt1,No_Change,ENSCCRG00000076147,1.02,0.9,2.18,0.36,ENSCCRG00000070015,1.01,1.03,2.17,0.26,15466.20868,-0.01456939801,0.9522731394
,Down_Reg,ENSCCRG00000047664,4.02,0.25,1.16,1.06,ENSCCRG00000072281,0.78,0.41,0.6,2.54,827.0912576,-4.900488754,0
,Down_Reg,ENSCCRG00000061779,4.86,1.03,1.37,0.29,ENSCCRG00000021936,6.05,2.18,3.05,0.84,8062.54622,-4.833541467,0
aclya,Down_Reg,ENSCCRG00000043645,3.68,0.46,1.29,0.18,ENSCCRG00000033443,5.32,0.42,1.8,0.24,1434.044588,-2.981872064,0
ppp1r3b,Down_Reg,ENSCCRG00000056231,2.39,0.77,1.11,0.39,ENSCCRG00000052865,5.61,1.02,2.5,0.14,2200.41356,-2.979874663,0
nop56,Down_Reg,ENSCCRG00000011942,2.38,1.42,4.82,0.28,ENSCCRG00000003169,2.57,1.81,3.74,0.19,5405.330184,-2.469694495,2.51E-69
cbsb,Down_Reg,ENSCCRG00000005058,1.67,0.31,0.78,0.52,ENSCCRG00000080289,4.82,0.49,1.57,0.2,1471.24795,-2.96451139,0
,Down_Reg,ENSCCRG00000069207,2.47,0.32,1.53,0.52,ENSCCRG00000056553,0.89,0.56,1.27,0.53,805.2197252,-2.94648567,0.0006161359507
psmd13,Down_Reg,ENSCCRG00000019004,1.38,0.69,2.37,1.21,ENSCCRG00000062974,1.54,0.77,3.24,0.2,626.2461169,-2.913103413,0
akap8l,Down_Reg,ENSCCRG00000060911,2.9,0.54,1.77,0.19,ENSCCRG00000046593,4.52,1.4,3.75,0.25,3598.028281,-2.89915921,0
cox5ab,Down_Reg,ENSCCRG00000026572,0.78,0.39,0.97,0.11,ENSCCRG00000073870,1.09,0.46,1.72,0.24,318.2120706,-2.406696932,1.08E-06
,Down_Reg,ENSCCRG00000055659,2.11,0.71,1.57,0.28,ENSCCRG00000054359,1.44,0.62,1.86,0.11,494.914848,-2.856431468,0
,Down_Reg,ENSCCRG00000038653,1.22,0.32,0.19,0.31,ENSCCRG00000003249,2,0.38,0.66,0.21,519.9978902,-2.818452861,0
khsrp,Down_Reg,ENSCCRG00000002491,15.6,1.35,3.89,0.32,ENSCCRG00000023737,15.43,2.48,5.14,0.18,20729.39718,-2.781055769,0
ric8b,Down_Reg,ENSCCRG00000052067,2.11,0.47,0.22,0.51,ENSCCRG00000066601,2.05,0.55,0.27,0.44,549.7338526,-2.75070598,0
tgfb2,Down_Reg,ENSCCRG00000063631,1.02,0.27,0.58,0.35,ENSCCRG00000018324,1.12,1.14,2.07,0.44,440.2771599,-2.720893382,0
cemip2,Down_Reg,ENSCCRG00000013344,1.24,0.47,2.1,0.43,ENSCCRG00000028507,1.5,0.85,1.86,0.14,595.1545449,-2.721196853,0
pdlim2,Down_Reg,ENSCCRG00000036420,0.45,0.31,0.44,0.3,ENSCCRG00000059710,0.52,0.32,0.16,0.42,938.2451662,-2.621336557,0
lmna,Down_Reg,ENSCCRG00000023524,2.13,0.29,0.1,0.25,ENSCCRG00000023255,1.39,0.55,0.56,0.33,532.0624803,-2.610286395,0
eno3,Down_Reg,ENSCCRG00000058869,3.77,0.33,0.64,0.56,ENSCCRG00000047913,2.51,0.55,1.3,0.41,957.0326576,-2.592471568,0.0000004027796273
rpa2,Down_Reg,ENSCCRG00000027976,1.88,1.2,1.23,0.36,ENSCCRG00000005648,1.14,1.37,3.24,0.37,696.8996697,-2.58523408,0
cdh11,Down_Reg,ENSCCRG00000009639,0.89,0.5,0.17,0.5,ENSCCRG00000045939,0.98,0.92,1.64,1.05,377.7960518,-2.584211429,0.0001394848455
plekhh1,Down_Reg,ENSCCRG00000021579,0.66,0.82,2.01,0.78,ENSCCRG00000037878,1.99,1.1,2.77,0.25,322.1364035,-2.551606889,0
usp13,Down_Reg,ENSCCRG00000024629,0.68,0.35,0.72,0.34,ENSCCRG00000081978,1.19,0.72,1.64,0.16,165.6851508,-2.545954011,0.000004151944316
mpp5a,Down_Reg,ENSCCRG00000015300,2.56,0.52,0.69,0.38,ENSCCRG00000069533,2.9,0.77,2.06,0.14,1531.079906,-2.492015668,0
rnf20,Down_Reg,ENSCCRG00000012322,1.56,1.19,3,0.28,ENSCCRG00000030980,0.8,0.64,2.89,0.16,1694.369311,-2.486852116,0
